word,node_id
Xenobiotic	,1
detoxiﬁcation	,2
pathways	,3
honey	,4
bees	,5
May	,6
R	,7
Berenbaum1	,8
Reed	,9
M	,10
Johnson2	,11
Relative	,12
insect	,13
genomes	,14
western	,15
bee	,16
Apis	,17
mellifera	,18
deﬁcit	,19
genes	,20
spanning	,21
Phase	,22
I	,23
functionalization	,24
II	,25
conjugation	,26
III	,27
excretion	,28
gene	,29
families	,30
Although	,31
honeybees	,32
display	,33
across	,34
board	,35
greater	,36
sensitivity	,37
pesticides	,38
may	,39
render	,40
vulnerable	,41
synergistic	,42
interactions	,43
among	,44
xenobiotics	,45
Diet	,46
quality	,47
terms	,48
protein	,49
phytochemical	,50
content	,51
pronounced	,52
inﬂuence	,53
tolerance	,54
toxic	,55
compounds	,56
Detoxiﬁcation	,57
inventory	,58
reduction	,59
reﬂect	,60
evolutionary	,61
history	,62
consuming	,63
relatively	,64
chemically	,65
benign	,66
nectar	,67
pollen	,68
apoid	,69
pollinators	,70
comparable	,71
levels	,72
cytochrome	,73
P450	,74
Enzymatic	,75
eusocial	,76
A	,77
complemented	,78
behaviors	,79
comprising	,80
social	,81
system	,82
including	,83
forager	,84
discrimination	,85
dilution	,86
mixing	,87
colony	,88
food	,89
processing	,90
via	,91
microbial	,92
fermentation	,93
reduces	,94
number	,95
quantity	,96
ingested	,97
chemicals	,98
requiring	,99
Addresses	,100
University	,101
Illinois	,102
Urbana	,103
Champaign	,104
Department	,105
Entomology	,106
S	,107
Goodwin	,108
IL	,109
United	,110
States	,111
The	,112
Ohio	,113
State	,114
Madison	,115
Ave	,116
Wooster	,117
OH	,118
Corresponding	,119
author	,120
Berenbaum	,121
maybe	,122
@	,123
illinois	,124
edu	,125
Current	,126
Opinion	,127
Insect	,128
Science	,129
This	,130
review	,131
comes	,132
themed	,133
issue	,134
Social	,135
insects	,136
Edited	,137
Christina	,138
Grozinger	,139
Jay	,140
D	,141
Evans	,142
For	,143
complete	,144
overview	,145
see	,146
Issue	,147
Editorial	,148
Available	,149
online	,150
1st	,151
http	,152
dx	,153
doi	,154
org	,155
j	,156
cois	,157
Elsevier	,158
Inc	,159
All	,160
rights	,161
reserved	,162
Introduction	,163
fortuitously	,164
timed	,165
release	,166
genome	,167
honeybee	,168
provided	,169
novel	,170
insights	,171
biology	,172
agriculturally	,173
critical	,174
spe	,175
cies	,176
apicultural	,177
losses	,178
associated	,179
became	,180
known	,181
Colony	,182
Collapse	,183
Disorder	,184
reached	,185
crisis	,186
propor	,187
tions	,188
Among	,189
striking	,190
ﬁndings	,191
deﬁcient	,192
respect	,193
pat	,194
tern	,195
part	,196
held	,197
sequenced	,198
Table	,199
1A	,200
also	,201
pro	,202
vided	,203
timely	,204
tools	,205
characterizing	,206
biochemical	,207
mechanisms	,208
underlying	,209
natural	,210
synthetic	,211
evaluating	,212
possible	,213
involvement	,214
nutrition	,215
diet	,216
decline	,217
In	,218
general	,219
xenobiotic	,220
involves	,221
conver	,222
sion	,223
lipid	,224
soluble	,225
substances	,226
water	,227
excre	,228
table	,229
metabolites	,230
toxin	,231
structure	,232
enzymatically	,233
altered	,234
rendered	,235
unable	,236
interact	,237
lipophilic	,238
target	,239
sites	,240
Such	,241
effected	,242
primarily	,243
monooxygenases	,244
carboxylesterases	,245
CCE	,246
although	,247
enzymes	,248
ﬂavin	,249
dependent	,250
cyclooxygenases	,251
contribute	,252
C15	,253
reactions	,254
typically	,255
involve	,256
products	,257
solubilization	,258
transport	,259
Glutathione	,260
transferases	,261
GST	,262
principal	,263
function	,264
Other	,265
include	,266
gly	,267
cosyltransferases	,268
phosphotransferases	,269
sulfotransferases	,270
aminotransferases	,271
glycosidases	,272
Nucleophilic	,273
hydrophilic	,274
UDP	,275
glyco	,276
syltransferases	,277
substrates	,278
herbivorous	,279
unknown	,280
conjugates	,281
cells	,282
proteins	,283
involved	,284
process	,285
multidrug	,286
resistance	,287
ATP	,288
binding	,289
cassette	,290
transporters	,291
P450s	,292
Functionalization	,293
attributable	,294
largely	,295
superfamily	,296
heme	,297
thiolate	,298
participate	,299
bio	,300
synthesis	,301
endogenous	,302
signaling	,303
molecules	,304
xeno	,305
biotic	,306
Honeybees	,307
utilize	,308
ﬂavonoids	,309
pyrethroid	,310
organophosphate	,311
phenoxypyrazole	,312
acaricides	,313
ﬂuvalinate	,314
coumaphos	,315
fenpyroximate	,316
neonicotinoid	,317
insecticides	,318
mycotoxins	,319
aﬂatoxin	,320
B1	,321
ochratoxin	,322
Despite	,323
depen	,324
dence	,325
reduced	,326
even	,327
comparison	,328
hymenop	,329
terans	,330
1B	,331
CYP2	,332
mitochondrial	,333
clans	,334
functions	,335
size	,336
whereas	,337
reductions	,338
Clade	,339
CYP6	,340
CYP9	,341
carry	,342
nounced	,343
greatest	,344
CYP4	,345
clade	,346
%	,347
exogenous	,348
roles	,349
extreme	,350
duction	,351
characteristic	,352
bumblebee	,353
Bombus	,354
terrestris	,355
easily	,356
explained	,357
without	,358
knowledge	,359
www	,360
sciencedirect	,361
com	,362
ScienceDirect	,363
N	,364
vitripennis	,365
non	,366
parasitoid	,367
wasp	,368
subfamily	,369
CYP6AS	,370
diverse	,371
CYP6AS1	,372
CYP6AS3	,373
CYP6AS4	,374
CYP6AS10	,375
metabolize	,376
quercetin	,377
upregulated	,378
propolis	,379
induced	,380
substrate	,381
atypical	,382
CYP9Q1	,383
however	,384
acaricide	,385
tau	,386
insecti	,387
cide	,388
cypermethrin	,389
bifenthrin	,390
Ge	,391
nome	,392
enabled	,393
surveys	,394
identiﬁed	,395
transcripts	,396
corresponding	,397
en	,398
zyme	,399
activities	,400
yet	,401
characterized	,402
many	,403
cases	,404
CYP6AS14	,405
mono	,406
terpene	,407
thymol	,408
used	,409
hive	,410
varroa	,411
mites	,412
Acaricides	,413
upre	,414
gulated	,415
CYP9S1	,416
adult	,417
workers	,418
detoxiﬁca	,419
tion	,420
expressed	,421
heterologously	,422
Cou	,423
maphos	,424
exposure	,425
led	,426
fold	,427
increase	,428
expres	,429
CYP305D1	,430
clan	,431
Carboxylesterases	,432
That	,433
CCEs	,434
metabolism	,435
suggested	,436
induction	,437
carbox	,438
ylesterase	,439
activity	,440
phenylpyrazole	,441
spinosyn	,442
With	,443
members	,444
inven	,445
tory	,446
relative	,447
Ten	,448
major	,449
clades	,450
represented	,451
eight	,452
class	,453
xenobi	,454
otic	,455
Toxicity	,456
cyﬂuthrin	,457
ﬂuvali	,458
nate	,459
enhanced	,460
inhibitors	,461
consistent	,462
carboxylesterase	,463
mediated	,464
cleavage	,465
ester	,466
bond	,467
moreover	,468
convert	,469
metabolite	,470
suitable	,471
providing	,472
evidence	,473
pesticide	,474
toler	,475
ance	,476
Carboxylesterase	,477
GB10854	,478
esterase	,479
E4	,480
like	,481
upregulation	,482
exposed	,483
p	,484
coumaric	,485
acid	,486
glutathione	,487
detoxi	,488
ﬁcation	,489
electrophilic	,490
GSH	,491
sequestering	,492
toxins	,493
pyrethroids	,494
directly	,495
Of	,496
six	,497
subclasses	,498
sigma	,499
omega	,500
theta	,501
zeta	,502
delta	,503
epsi	,504
lon	,505
epsilon	,506
restricted	,507
linked	,508
ten	,509
ostensibly	,510
functional	,511
strikingly	,512
depauperate	,513
contains	,514
num	,515
bers	,516
Sigma	,517
GSTs	,518
Inducibility	,519
provides	,520
potential	,521
Genomic	,522
detoxification	,523
inventories	,524
species	,525
Data	,526
huntii	,527
Megachile	,528
rotundata	,529
Ref	,530
Nasonia	,531
Drosophila	,532
melanogaster	,533
GT	,534
Total	,535
Life	,536
Eusocial	,537
pollinator	,538
Solitary	,539
saprotroph	,540
Order	,541
Hymenoptera	,542
Diptera	,543
Cytochrome	,544
concentrated	,545
CYP3	,546
data	,547
Refs	,548
Pogonomyrmex	,549
barbatus	,550
Mitochondrial	,551
seed	,552
feeder	,553
ﬂumethrin	,554
larvae	,555
pupae	,556
nurse	,557
foragers	,558
Ziziphus	,559
jujuba	,560
displayed	,561
elevated	,562
eastern	,563
cerana	,564
AccGSTS1	,565
phoxim	,566
cyhalothrin	,567
Omega	,568
GSTO2	,569
pyridaben	,570
paraquat	,571
response	,572
oxidative	,573
damage	,574
caused	,575
At	,576
molecular	,577
level	,578
ingestion	,579
resulted	,580
GSTD	,581
Delta	,582
ABC	,583
cas	,584
sette	,585
hydrolyze	,586
move	,587
diver	,588
sity	,589
hydrophobic	,590
conjugated	,591
membranes	,592
These	,593
well	,594
family	,595
annotated	,596
seven	,597
arthropod	,598
date	,599
smallest	,600
C2440	,601
Tetranychus	,602
urticae	,603
ge	,604
ABCB	,605
FT	,606
full	,607
transporter	,608
prising	,609
P	,610
glycoproteins	,611
ABCC	,612
ABCG	,613
FTs	,614
pleiotropic	,615
drug	,616
implicated	,617
detoxiﬁ	,618
cation	,619
synergism	,620
studies	,621
utilizing	,622
quantiﬁcation	,623
transcript	,624
toxicity	,625
three	,626
neonicotinoids	,627
two	,628
synergized	,629
inhibitor	,630
verapamil	,631
implicating	,632
multi	,633
Pre	,634
feeding	,635
oxytetracycline	,636
antibiotic	,637
frequently	,638
treat	,639
American	,640
foulbrood	,641
Paenibacillus	,642
enhances	,643
raising	,644
ques	,645
beekeeping	,646
practices	,647
entail	,648
simultaneous	,649
treatment	,650
bacterial	,651
diseases	,652
Interactions	,653
Anecdotal	,654
perceptions	,655
peculiarly	,656
sen	,657
sitive	,658
bolstered	,659
genomic	,660
dismissed	,661
Hardstone	,662
Scott	,663
compared	,664
published	,665
LD50	,666
values	,667
documented	,668
absence	,669
vulnerability	,670
likely	,671
consequence	,672
detox	,673
iﬁcation	,674
deﬁcits	,675
increased	,676
susceptibility	,677
toxicants	,678
particular	,679
signiﬁcance	,680
context	,681
recent	,682
documentation	,683
massive	,684
contami	,685
nation	,686
hives	,687
agricultural	,688
averaging	,689
detections	,690
per	,691
sample	,692
Indeed	,693
Johnson	,694
Group	,695
Gene	,696
name	,697
Fold	,698
Inducer	,699
CYP6AS2	,700
Coumarate	,701
Imidacloprid	,702
Coumaphos	,703
Fluvalinate	,704
CYP6AS5	,705
CYP6AS15	,706
CYP6AR1	,707
CYP6BD1	,708
CYP9Q3	,709
CYP9R1	,710
Esterase	,711
FE4	,712
Gamma	,713
glutamyltransferase	,714
Glucuronosyltransferase	,715
GSTD1	,716
Multidrug	,717
protein4	,718
protein1	,719
Unknown	,720
reared	,721
brood	,722
comb	,723
contaminated	,724
ple	,725
residues	,726
experienced	,727
longevity	,728
less	,729
Sterol	,730
biosynthesis	,731
inhibiting	,732
fungicides	,733
inhibit	,734
fungal	,735
synergize	,736
pre	,737
sumably	,738
addition	,739
cou	,740
possibly	,741
petitive	,742
interference	,743
catalytic	,744
models	,745
show	,746
dock	,747
pocket	,748
Combinations	,749
insec	,750
ticides	,751
herbicides	,752
demonstrated	,753
degree	,754
interactive	,755
effects	,756
though	,757
occur	,758
undetermined	,759
Nutrition	,760
Nutritional	,761
stress	,762
exacerbated	,763
presence	,764
imi	,765
dacloprid	,766
accompanied	,767
regulation	,768
glycolysis	,769
development	,770
indic	,771
ative	,772
energy	,773
cost	,774
Additionally	,775
nutrient	,776
Dietary	,777
particularly	,778
important	,779
depends	,780
least	,781
consumed	,782
ﬁrst	,783
days	,784
eclosion	,785
high	,786
displaying	,787
consum	,788
ing	,789
inferior	,790
sources	,791
especially	,792
stressors	,793
present	,794
e	,795
g	,796
low	,797
temperature	,798
mitigating	,799
effect	,800
explains	,801
seasonal	,802
differences	,803
fed	,804
autumn	,805
sensitive	,806
early	,807
spring	,808
bioassay	,809
based	,810
chlorpyrifos	,811
sucrose	,812
alone	,813
Pollen	,814
identity	,815
capacity	,816
different	,817
diets	,818
gut	,819
Pesticide	,820
combinations	,821
underlined	,822
detected	,823
wax	,824
samples	,825
references	,826
brackets	,827
beekeepers	,828
Tau	,829
Thymol	,830
Amitraz	,831
Fenpyroximate	,832
Oxalic	,833
Flumethrin	,834
Carbendazim	,835
Difenconazole	,836
Flusilazole	,837
Prochloraz	,838
Propiconazole	,839
Tebuconazole	,840
Thiophanate	,841
methyl	,842
Chlorothalonil	,843
C6	,844
Myclobutanil	,845
Metconazole	,846
Fenbuconazole	,847
Boscalid	,848
